d,Method,Distortion
1,estimate_spherical_subspace,57809.24352156718
1,estimate_spherical_subspace_liu,57933.90807551868
1,estimate_spherical_subspace_dai,60720.1502746666
1,estimate_spherical_subspace_pga,57877.54336975255
1,estimate_spherical_subspace_pga_2,57867.69716352458
2,estimate_spherical_subspace,57672.325475676116
2,estimate_spherical_subspace_liu,57687.63019209066
2,estimate_spherical_subspace_dai,60200.74142428446
2,estimate_spherical_subspace_pga,57618.61776298068
2,estimate_spherical_subspace_pga_2,57616.77893370708
3,estimate_spherical_subspace,57656.52237972696
3,estimate_spherical_subspace_liu,57659.1721935172
3,estimate_spherical_subspace_dai,59744.25304408774
3,estimate_spherical_subspace_pga,57533.03132684966
3,estimate_spherical_subspace_pga_2,57538.03518463708
4,estimate_spherical_subspace,57669.731604734945
4,estimate_spherical_subspace_liu,57672.026851630195
4,estimate_spherical_subspace_dai,59446.06809766126
4,estimate_spherical_subspace_pga,57492.63138921611
4,estimate_spherical_subspace_pga_2,57498.05461535581
5,estimate_spherical_subspace,57719.18311114855
5,estimate_spherical_subspace_liu,57721.69485400463
5,estimate_spherical_subspace_dai,59218.01470938095
5,estimate_spherical_subspace_pga,57516.936276404864
5,estimate_spherical_subspace_pga_2,57518.183232981915
6,estimate_spherical_subspace,57720.23980309972
6,estimate_spherical_subspace_liu,57720.52152659595
6,estimate_spherical_subspace_dai,59111.916939180155
6,estimate_spherical_subspace_pga,57539.83949907744
6,estimate_spherical_subspace_pga_2,57540.98156609681
7,estimate_spherical_subspace,57788.32765460296
7,estimate_spherical_subspace_liu,57788.280533685705
7,estimate_spherical_subspace_dai,59015.16280980573
7,estimate_spherical_subspace_pga,57605.35591546124
7,estimate_spherical_subspace_pga_2,57609.337675076385
8,estimate_spherical_subspace,57890.429542359205
8,estimate_spherical_subspace_liu,57890.9898467295
8,estimate_spherical_subspace_dai,58934.42157529529
8,estimate_spherical_subspace_pga,57684.2429959254
8,estimate_spherical_subspace_pga_2,57677.59230935424
9,estimate_spherical_subspace,57909.38843816831
9,estimate_spherical_subspace_liu,57910.82202896229
9,estimate_spherical_subspace_dai,58887.36504233107
9,estimate_spherical_subspace_pga,57697.28813499205
9,estimate_spherical_subspace_pga_2,57701.076115029464
10,estimate_spherical_subspace,57991.29384037803
10,estimate_spherical_subspace_liu,57991.863065836515
10,estimate_spherical_subspace_dai,58818.675951448
10,estimate_spherical_subspace_pga,57747.64181962151
10,estimate_spherical_subspace_pga_2,57742.53335322918
11,estimate_spherical_subspace,57990.98783197909
11,estimate_spherical_subspace_liu,57992.394147747684
11,estimate_spherical_subspace_dai,58741.20738027825
11,estimate_spherical_subspace_pga,57783.97506116487
11,estimate_spherical_subspace_pga_2,57782.14201156482
12,estimate_spherical_subspace,58056.64458600491
12,estimate_spherical_subspace_liu,58055.61422788412
12,estimate_spherical_subspace_dai,58676.561942772096
12,estimate_spherical_subspace_pga,57826.25007458668
12,estimate_spherical_subspace_pga_2,57822.92566564764
13,estimate_spherical_subspace,58072.133816202884
13,estimate_spherical_subspace_liu,58072.49077319303
13,estimate_spherical_subspace_dai,58631.18435437871
13,estimate_spherical_subspace_pga,57831.73941961293
13,estimate_spherical_subspace_pga_2,57830.80086794142
14,estimate_spherical_subspace,58136.00821512116
14,estimate_spherical_subspace_liu,58136.33903168885
